pair_id,architecture,true_center_x,true_center_y,pred_center_x,pred_center_y,euclidean_error,detected_scale,detected_rotation_deg,confidence,scale_ratio,rotation_deg,blur_sigma,shot_dose,gaussian_std,charging,runtime_ms,pass_5px,pass_4px,pass_2px,pass_1px,pass_subpixel
1,FinFET,721.766252805277,429.71051667078655,721.3399982215489,428.32848483316695,0.040145311722832,10.5,0.0,0.07965481371349745,10.569610823939954,0.3651127409176471,0.5648957050772354,284.5451372845829,10.823983902107125,0.0,1024.7130000000002,True,True,True,True,True
2,FinFET,329.99557250215184,542.9717574201136,329.43136174541553,540.5338151479777,0.04851120402578717,10.5,-1.25,0.2197091594802007,10.647673554365692,-0.8109590529588151,0.9164095693916718,192.77683206119661,11.022216868851485,20.0,1114.6010999999999,True,True,True,True,True
3,FinFET,406.34161636147377,362.1591113130238,402.85482552909514,364.47873121971014,0.09136415079903097,9.5,1.25,0.189476082731177,9.364019456188611,1.440714582373729,1.0717882395423324,120.71248671609473,5.601808534208157,10.0,1878.3774000000014,True,True,True,True,True
4,FinFET,669.2824061847678,596.0740743136735,666.7173449836332,600.4865536938806,0.019190311020012223,9.5,-1.25,0.20329128823456907,9.43217765645365,-1.4983524082362325,0.6375623602399205,250.77770362511777,9.616691654026003,10.0,1848.8618,True,True,True,True,True
5,FinFET,569.0976668007722,745.729887740629,569.2471214519792,745.7637797480074,0.07478026161648955,9.0,0.0,0.3074159557201243,9.193458910893247,0.026817367079017718,0.6567950563346598,141.203247209329,10.950319410337041,0.0,2095.2554000000027,True,True,True,True,True
6,FinFET,741.2039277316678,270.2000764468286,741.7592175756081,270.82862633858986,0.02955465613062849,9.0,0.0,0.10507353268729278,9.245573379661872,-0.14293814749013878,1.1679980651427742,127.75986274883728,5.9304466317104705,0.0,2070.9973999999997,True,True,True,True,True
7,FinFET,574.2679597001288,488.8442846609321,574.0768243030404,487.62256556093365,0.006845726827549824,10.0,1.25,0.23204914728800413,10.005474763838492,0.939135541475316,0.7420559514286523,115.30659224021262,6.7404306920535975,0.0,1847.0295000000015,True,True,True,True,True
8,FinFET,677.9969086642975,566.137577634783,677.2830348388655,568.073020642333,0.07832254547333219,9.0,0.0,0.02288615970258423,9.235811113919281,-0.5974692552927658,0.5160980013848776,115.16710230268366,7.2882571584820015,0.0,1845.0018999999998,True,True,True,True,True
9,FinFET,521.8711244588897,670.7044227898739,519.8914551779446,670.9061722136321,0.0600455658437557,10.5,-1.25,0.04255581825750809,10.500152151288875,-0.6734582882345097,0.8393278074932398,138.90024744962602,4.362985985168937,10.0,1945.4786000000013,True,True,True,True,True
10,FinFET,715.24640575515,506.2188906170313,715.2414634568011,506.1883980773187,0.006694073257735108,10.5,0.0,0.13939814050109245,10.425046661044798,0.008895320538842899,0.5158650970411398,275.27093604384015,3.6192063491247026,10.0,1864.1684999999982,True,True,True,True,True
