pair_id,tier,scale_ratio,rotation_deg,true_x,true_y,eng1_pred_x,eng1_pred_y,eng1_error_px,eng1_pass_5px,eng1_score,eng1_runtime_ms,eng2_pred_x,eng2_pred_y,eng2_error_px,eng2_pass_5px,eng2_score,eng2_runtime_ms
1,DRAM,10.0,0.0,500.0,500.0,499.9973449707031,500.0010986328125,0.002873355986293069,True,0.6449522972106934,13149.1971,499.99941212159433,499.9988774673014,0.0012671545601517402,True,0.8293774326642349,3584.646599999999
2,DRAM,10.0,0.0,480.0,520.0,480.00445556640625,519.9963989257812,0.005728857436649079,True,0.6150614619255066,13222.2205,480.0021414268904,519.9994572881394,0.002209127721623956,True,0.757430073351902,3771.852899999999
3,DRAM,9.95,0.1,529.9484663590613,469.94681241589814,530.0095825195312,469.9510803222656,0.06126499894190899,True,0.5467489361763,13099.604600000006,530.0045926166463,469.91632040423383,0.06387424806471834,True,0.5811029672622681,3548.1518000000065
4,DRAM,10.05,-0.1,459.92937436310626,539.9309978445352,459.9670715332031,539.9373168945312,0.038223121617209886,True,0.5375673770904541,13194.111100000007,459.9601213682158,539.9350940263998,0.03101865614554112,True,0.5422820250193272,3710.961800000007
5,DRAM,10.0,0.0,510.0,490.0,509.9836120605469,490.01727294921875,0.023810067917433734,True,0.6254491806030273,13311.561699999998,509.9982678803544,490.0034881926517,0.003894576542057248,True,0.6703788492129108,3625.33830000001
6,DRAM,9.1,0.0,500.0,500.0,499.92877197265625,499.9538879394531,0.08485136420329766,True,0.4715803265571594,13417.003600000002,499.9841665634415,500.00331879009076,0.016177517761365744,True,0.007440388202667829,3595.9661999999926
7,DRAM,9.5,0.0,470.0,530.0,579.4645385742188,740.5142822265625,237.27357254155262,False,0.4890356957912445,13502.658300000006,470.006838419172,529.9799365916405,0.021196800036178447,True,0.010120113690694765,3655.078700000004
8,DRAM,10.0,0.0,520.0,480.0,520.0037841796875,479.99346923828125,0.007547904645289184,True,0.6156472563743591,13159.932900000002,520.0012895090761,479.997858645201,0.002499646781529918,True,0.7193893392036754,3607.5132999999937
9,DRAM,10.5,0.0,450.0,550.0,617.5697021484375,275.65618896484375,321.47182105343165,False,0.4627094566822052,13703.234500000008,450.0088673634086,549.9918972988849,0.012011823307977955,True,0.039208344319724794,3655.3044999999997
10,DRAM,10.9,0.0,530.0,460.0,346.5133056640625,320.54052734375,230.46976268458536,False,0.45305153727531433,13827.166199999994,530.0097508420602,459.96190461679964,0.03932349351296461,True,0.006588816642761527,3655.7937999999976
11,DRAM,10.0,-1.8,499.9840479006438,500.0154586597219,499.9864196777344,500.01580810546875,0.002397381675347526,True,0.6225091218948364,12282.033500000012,500.00374517318295,500.004587297449,0.022498201331426555,True,0.1385735074679051,3582.8394000000117
12,DRAM,10.0,-1.0,479.645195612486,519.656555825179,479.6779479980469,519.6868896484375,0.04464145599557567,True,0.5418117642402649,13462.264900000007,479.6777251042451,519.6637238799008,0.03330989106253993,True,0.506855487823487,3651.498799999985
13,DRAM,10.0,0.8,519.7257392255774,479.71567608486606,519.7691040039062,479.7535705566406,0.05758901796856394,True,0.573235809803009,13345.607899999975,519.7449226301003,479.75087870158484,0.04009023862410947,True,0.26126716534296585,3628.813799999989
14,DRAM,10.0,1.5,461.07370206993437,541.020111119671,461.0556640625,541.0090942382812,0.0211362576573653,True,0.5997244119644165,12195.974400000012,461.04875222443167,541.024199956874,0.02528266956397579,True,0.46746150652567636,3671.029699999991
15,DRAM,10.0,2.0,538.5967983745246,458.6106327162944,538.6427001953125,458.6550598144531,0.06388070289570587,True,0.5480615496635437,12286.104100000017,538.6027809441592,458.65734489711724,0.04709372544893735,True,0.09739198287328203,3566.6825999999787
16,DRAM,10.0,0.0,500.0,500.0,499.9978332519531,499.9986572265625,0.0025490856405958966,True,0.4892635643482208,13449.540999999983,499.9995826565771,499.9917738493738,0.008236730519878504,True,0.45936785141627173,3730.3377999999725
17,DRAM,10.0,0.0,470.0,530.0,469.94384765625,530.0654907226562,0.08626772549833467,True,0.39308834075927734,13916.453999999987,469.9768662473501,530.0056175177217,0.02380602900572886,True,0.3568731745084127,3814.5408000000316
18,DRAM,10.0,0.0,530.0,470.0,530.0159912109375,469.8941955566406,0.10700607021022131,True,0.3645557463169098,14357.199999999977,529.9982133561207,469.9597914999522,0.040248174771612966,True,0.285520493984223,3957.6008999999885
19,DRAM,10.0,0.0,450.0,550.0,450.0582275390625,549.9708251953125,0.0651276863847376,True,0.3401680588722229,14480.152700000019,450.0144820921955,550.0002603345638,0.01448443193379327,True,0.2407988707224525,3878.630200000032
20,DRAM,10.0,0.0,520.0,480.0,520.056640625,480.0169372558594,0.059118787508173384,True,0.31933122873306274,13496.482499999956,520.0075487057157,480.0222778346155,0.023522008271819505,True,0.19002741575241178,3777.1483000000217
21,DRAM,9.2,1.6,354.26049442936414,654.1156073027469,354.2372131347656,654.0450439453125,0.07430481875755558,True,0.4982512295246124,13213.175000000036,354.26925818698913,654.1562773943444,0.041603603188483725,True,0.23835953076680516,3772.992399999964
22,DRAM,9.6,-1.4,653.6076848458897,353.7216700896874,653.5830078125,353.6838073730469,0.045194482941139015,True,0.4487825930118561,13098.678000000007,653.6144545135977,353.694149197339,0.028341275845093973,True,0.3807509278544667,3811.6097000000195
